id,title,body,labels,milestone
E1-F1-I1,E1-F1-I1: Define channel-agnostic ticket intake contract,"### Summary
Define channel-agnostic ticket intake contract. Document request/response contracts for email, portal, chat widget, and API ticket creation with required/optional fields. Align intake contract with ticket field schema and tenant scoping rules. Secure sign-off from product and platform leads with ADR stored in internal knowledge base.

### Scope
- [ ] Document request/response contracts for email, portal, chat widget, and API ticket creation with required/optional fields.
- [ ] Align intake contract with ticket field schema and tenant scoping rules.
- [ ] Secure sign-off from product and platform leads with ADR stored in internal knowledge base.

### Acceptance Criteria
- [ ] CRUD/API/Filament with RBAC
- [ ] Tenant/brand scope enforced
- [ ] Audit log entries
- [ ] Indexes on foreign keys
- [ ] Tests (happy + error paths)

### Notes
- tenant-scope, RBAC, audit-log
- Observability: JSON logs + correlation-id
- Dependencies: None",epic:TicketIntakeLifecycle;type:Analysis;priority:P0;area:Architecture,Week 1
E1-F1-I2,E1-F1-I2: Implement ticket creation API & service layer,"### Summary
Implement ticket creation API & service layer. Build Laravel controller/service that persists tickets for all channels using unified metadata. Validate payloads against contract and auto-link contacts when identifiers provided. Add PHPUnit coverage for success and failure flows across each channel type.

### Scope
- [ ] Build Laravel controller/service that persists tickets for all channels using unified metadata.
- [ ] Validate payloads against contract and auto-link contacts when identifiers provided.
- [ ] Add PHPUnit coverage for success and failure flows across each channel type.

### Acceptance Criteria
- [ ] CRUD/API/Filament with RBAC
- [ ] Tenant/brand scope enforced
- [ ] Audit log entries
- [ ] Indexes on foreign keys
- [ ] Tests (happy + error paths)

### Notes
- tenant-scope, RBAC, audit-log
- Observability: JSON logs + correlation-id
- Dependencies: E1-F1-I1, E1-F3-I2",epic:TicketIntakeLifecycle;type:Implementation;priority:P0;area:Backend,Week 2
E1-F1-I3,E1-F1-I3: Prototype chat widget submission flow,"### Summary
Prototype chat widget submission flow. Deliver embeddable chat widget that authenticates visitor and submits via ticket creation API. Display success/error states and channel attribution in widget UI. Cypress test covers submission lifecycle against staging API.

### Scope
- [ ] Deliver embeddable chat widget that authenticates visitor and submits via ticket creation API.
- [ ] Display success/error states and channel attribution in widget UI.
- [ ] Cypress test covers submission lifecycle against staging API.

### Acceptance Criteria
- [ ] CRUD/API/Filament with RBAC
- [ ] Tenant/brand scope enforced
- [ ] Audit log entries
- [ ] Indexes on foreign keys
- [ ] Tests (happy + error paths)

### Notes
- tenant-scope, RBAC, audit-log
- Observability: JSON logs + correlation-id
- Dependencies: E1-F1-I2",epic:TicketIntakeLifecycle;type:Implementation;priority:P1;area:Frontend,Week 3
E1-F2-I1,E1-F2-I1: Model tenant and brand relationships,"### Summary
Model tenant and brand relationships. Produce ER diagram and migration plan for organizations, brands, and ticket ownership. Document tenant resolution strategy (domain, API key, or header) and share with team. Validate model with sample data covering multi-brand organizations.

### Scope
- [ ] Produce ER diagram and migration plan for organizations, brands, and ticket ownership.
- [ ] Document tenant resolution strategy (domain, API key, or header) and share with team.
- [ ] Validate model with sample data covering multi-brand organizations.

### Acceptance Criteria
- [ ] CRUD/API/Filament with RBAC
- [ ] Tenant/brand scope enforced
- [ ] Audit log entries
- [ ] Indexes on foreign keys
- [ ] Tests (happy + error paths)

### Notes
- tenant-scope, RBAC, audit-log
- Observability: JSON logs + correlation-id
- Dependencies: E1-F3-I1",epic:TicketIntakeLifecycle;type:Analysis;priority:P0;area:Architecture,Week 1
E1-F2-I2,E1-F2-I2: Implement tenant scoping middleware & policies,"### Summary
Implement tenant scoping middleware & policies. Middleware resolves tenant context per request and injects into ticket services. Authorization policies ensure tickets are only accessible within tenant scope. Feature tests prove cross-tenant isolation for CRUD endpoints.

### Scope
- [ ] Middleware resolves tenant context per request and injects into ticket services.
- [ ] Authorization policies ensure tickets are only accessible within tenant scope.
- [ ] Feature tests prove cross-tenant isolation for CRUD endpoints.

### Acceptance Criteria
- [ ] CRUD/API/Filament with RBAC
- [ ] Tenant/brand scope enforced
- [ ] Audit log entries
- [ ] Indexes on foreign keys
- [ ] Tests (happy + error paths)

### Notes
- tenant-scope, RBAC, audit-log
- Observability: JSON logs + correlation-id
- Dependencies: E1-F2-I1",epic:TicketIntakeLifecycle;type:Implementation;priority:P0;area:Backend,Week 2
E1-F2-I3,E1-F2-I3: Add tenant-aware ticket intake tests,"### Summary
Add tenant-aware ticket intake tests. Write feature tests for API, portal, and chat intake enforcing tenant boundaries. Cover brand-alias routing and fallback tenant resolution. Tests run in CI with fixtures per tenant.

### Scope
- [ ] Write feature tests for API, portal, and chat intake enforcing tenant boundaries.
- [ ] Cover brand-alias routing and fallback tenant resolution.
- [ ] Tests run in CI with fixtures per tenant.

### Acceptance Criteria
- [ ] CRUD/API/Filament with RBAC
- [ ] Tenant/brand scope enforced
- [ ] Audit log entries
- [ ] Indexes on foreign keys
- [ ] Tests (happy + error paths)

### Notes
- tenant-scope, RBAC, audit-log
- Observability: JSON logs + correlation-id
- Dependencies: E1-F2-I2, E1-F1-I2",epic:TicketIntakeLifecycle;type:Implementation;priority:P1;area:Backend,Week 3
E1-F3-I1,E1-F3-I1: Create ticket schema migrations,"### Summary
Create ticket schema migrations. Migrations establish tickets table with subject, status, priority, department, category, assignee, tags, and JSON custom_fields. Document indexing strategy for status/priority/tenant lookups. Migration suite passes locally with rollback verification.

### Scope
- [ ] Migrations establish tickets table with subject, status, priority, department, category, assignee, tags, and JSON custom_fields.
- [ ] Document indexing strategy for status/priority/tenant lookups.
- [ ] Migration suite passes locally with rollback verification.

### Acceptance Criteria
- [ ] CRUD/API/Filament with RBAC
- [ ] Tenant/brand scope enforced
- [ ] Audit log entries
- [ ] Indexes on foreign keys
- [ ] Tests (happy + error paths)

### Notes
- tenant-scope, RBAC, audit-log
- Observability: JSON logs + correlation-id
- Dependencies: None",epic:TicketIntakeLifecycle;type:Implementation;priority:P0;area:Backend,Week 1
E1-F3-I2,E1-F3-I2: Implement ticket domain model & repository,"### Summary
Implement ticket domain model & repository. Configure Eloquent models with casts, accessors, and relationships for assignee, department, category. Repository/service exposes CRUD plus tag/custom-field helpers. Unit tests validate create/update with tag syncing and custom field persistence.

### Scope
- [ ] Configure Eloquent models with casts, accessors, and relationships for assignee, department, category.
- [ ] Repository/service exposes CRUD plus tag/custom-field helpers.
- [ ] Unit tests validate create/update with tag syncing and custom field persistence.

### Acceptance Criteria
- [ ] CRUD/API/Filament with RBAC
- [ ] Tenant/brand scope enforced
- [ ] Audit log entries
- [ ] Indexes on foreign keys
- [ ] Tests (happy + error paths)

### Notes
- tenant-scope, RBAC, audit-log
- Observability: JSON logs + correlation-id
- Dependencies: E1-F3-I1",epic:TicketIntakeLifecycle;type:Implementation;priority:P0;area:Backend,Week 2
E1-F3-I3,E1-F3-I3: Build custom field definition manager,"### Summary
Build custom field definition manager. CRUD endpoints for defining custom fields (type, validation rules, tenant scope). Store per-tenant configurations and surface in ticket creation forms. Tests cover creation, update, deletion with validation failures.

### Scope
- [ ] CRUD endpoints for defining custom fields (type, validation rules, tenant scope).
- [ ] Store per-tenant configurations and surface in ticket creation forms.
- [ ] Tests cover creation, update, deletion with validation failures.

### Acceptance Criteria
- [ ] CRUD/API/Filament with RBAC
- [ ] Tenant/brand scope enforced
- [ ] Audit log entries
- [ ] Indexes on foreign keys
- [ ] Tests (happy + error paths)

### Notes
- tenant-scope, RBAC, audit-log
- Observability: JSON logs + correlation-id
- Dependencies: E1-F3-I1",epic:TicketIntakeLifecycle;type:Implementation;priority:P0;area:Backend,Week 3
E1-F4-I1,E1-F4-I1: Define workflow state machine requirements,"### Summary
Define workflow state machine requirements. Document target states, transitions, and guards for default workflow. Capture tenant-level override requirements and SLA touchpoints. Share diagram reviewed by ops and product teams.

### Scope
- [ ] Document target states, transitions, and guards for default workflow.
- [ ] Capture tenant-level override requirements and SLA touchpoints.
- [ ] Share diagram reviewed by ops and product teams.

### Acceptance Criteria
- [ ] CRUD/API/Filament with RBAC
- [ ] Tenant/brand scope enforced
- [ ] Audit log entries
- [ ] Indexes on foreign keys
- [ ] Tests (happy + error paths)

### Notes
- tenant-scope, RBAC, audit-log
- Observability: JSON logs + correlation-id
- Dependencies: E1-F3-I1",epic:TicketIntakeLifecycle;type:Analysis;priority:P1;area:Architecture,Week 2
